state,raw,canonical,,,,
IA,Judicial,Candidate Committee,,,,
IA,Iowa PAC,PAC,,,,
IA,PAC,PAC,,,,
IA,Political Party,Party Committee,,,,
IA,Candidate,Candidate Committee,,,,
# == Illinois ==================================================================,,,,,,
"# TypeOfCommittee is often blank; the parser infers ""Candidate"" for ~13K",,,,,,
# blank rows that ARE linked to a candidate via CmteCandidateLinks.txt. The,,,,,,
# remaining ~6K unlinked blanks stay blank and are unmapped here.,,,,,,
IL,Candidate,Candidate Committee,,,,
IL,Political Action,PAC,,,,
IL,Political Party,Party Committee,,,,
IL,Ballot Initiative,Ballot Measure,,,,
IL,Independent Expenditure,Independent Expenditure,,,,
IL,Limited Activity Committee,Other,,,,
# == Indiana ===================================================================,,,,,,
# committee_type comes from entities.csv (scraped from CommitteeDetail.aspx).,,,,,,
IN,Candidate,Candidate Committee,,,,
IN,Political Action,PAC,,,,
IN,Regular Party,Party Committee,,,,
IN,Legislative Caucus,Party Committee,,,,
IN,System,,,,,
# == Kansas ===================================================================,,,,,,
# The CFR Examiner's candidate-filings category covers candidate committees only.,,,,,,
KS,Candidate,Candidate Committee,,,,
KS,PAC,PAC,,,,
KS,Party Committee,Party Committee,,,,
# == Kentucky ==================================================================,,,,,,
# KREF committee_type from the committees API endpoint.,,,,,,
# Issues Committees are independent advocacy committees (functionally PAC-like,,,,,,
# but not candidate-specific); in KY statute they are a distinct filer category.,,,,,,
# Caucus Campaign Committees are legislative caucus collective fundraising entities.,,,,,,
KY,Campaign Committee,Candidate Committee,,,,
KY,State Pac,PAC,,,,
KY,Issues Committee,PAC,,,,
KY,Executive Committee,Party Committee,,,,
KY,Independent Expenditure-Only Committee,Independent Expenditure,,,,
KY,Inaugural Committee,Other,,,,
KY,Exploratory Committee,Candidate Committee,,,,
KY,Contributing Organization,Organization,,,,
KY,Caucus Campaign Committee,PAC,,,,
KY,Executive Committee Building Fund,Party Committee,,,,
# == Maine =====================================================================,,,,,,
ME,Candidate,Candidate Committee,,,,
ME,Political Action Committee,PAC,,,,
ME,Party Committee,Party Committee,,,,
ME,Ballot Question Committee,Ballot Measure,,,,
ME,Gubernatorial Transition And Inaugural Committee,Other,,,,
# Personal financial disclosure filers are not campaign committees — suppressed,,,,,,
ME,Legislative Personal Filer,,,,,
ME,Personal Financial Disclosure Filer - Executive,,,,,
# == Louisiana =================================================================,,,,,,
# Louisiana does not provide committee_type in bulk CSVs — field is left blank,,,,,,
# by parser. Filer type (candidate vs PAC) is inferred from FilerFirstName,,,,,,
# presence, not from a committee_type column. No mappings needed here.,,,,,
# == Maryland ==================================================================,,,,,,
MD,Candidate Committee,Candidate Committee,,,,
MD,Political Action Committee (PAC),PAC,,,,
MD,Super Political Action Committee (Super PAC),PAC,,,,
MD,Party Central Committee,Party Committee,,,,
MD,Legislative Caucus Committee,Party Committee,,,,
MD,Independent Expenditure,Independent Expenditure,,,,
MD,Electioneering Communication,Independent Expenditure,,,,
MD,Ballot Issue Committee,Ballot Measure,,,,
MD,Slate Committee,Other,,,,
MD,Out of State (Non Federal) Committee,Other,,,,
MD,Participating Organizations Committee,Other,,,,
MD,Public Financing Committee,Other,,,,
# == Massachusetts ==============================================================,,,,,,
# Account type codes from all_filers.txt → canonical labels.,,,,,,
# D/U/Z/z/N/O are candidate-type accounts (various vintages of the registration system).,,,,,,
MA,Candidate Committee,Candidate Committee,,,,
MA,PAC,PAC,,,,
MA,Independent Expenditure,Independent Expenditure,,,,
MA,Party Committee,Party Committee,,,,
MA,Ballot Measure,Ballot Measure,,,,
MA,Other,Other,,,,
# == Michigan ==================================================================,,,,,,
# com_type values from transaction files; committee_type labels from entity search,,,,,,
MI,Candidate,Candidate Committee,,,,
MI,Political,PAC,,,,
"# ""Independent"" in MI = committees not affiliated with a candidate or party (non-IE PACs)",,,,,,
MI,Independent,PAC,,,,
MI,Caucus,PAC,,,,
MI,Ballot Question,Ballot Measure,,,,
MI,Independent Expenditure,Independent Expenditure,,,,
MI,Qualifying Political Party,Party Committee,,,,
MI,State Political Party,Party Committee,,,,
MI,County Political Party,Party Committee,,,,
MI,District Political Party,Party Committee,,,,
# == Minnesota =================================================================,,,,,,
# RegisteredEntityType (PCC/PCF/PTU) is mapped to canonical values at parse time,,,,,,
# so the per-state DB query works without alias expansion. Aliases here are no-ops,,,,,,
# for the aggregate DB but kept for completeness.,,,,,,
MN,Candidate Committee,Candidate Committee,,,,
MN,PAC,PAC,,,,
MN,Party Committee,Party Committee,,,,
# == Mississippi ================================================================,,,,,,
"# OrganizationType from CandidateNameSearch (entities.json). ""Policical"" is a",,,,,,
# genuine typo in the source data, not a transcription error on our end.,,,,,
MS,Candidate Committee,Candidate Committee,,,,
MS,Political Committee (PAC),PAC,,,,
MS,Policical Initiative Committee,Ballot Measure,,,,
# == Pennsylvania ===============================================================,,,,,,
# committee_type is parser-derived from raw FILERTYPE (1/2/3), not a free-text,,,,,
# source field — see FILER_TYPE_LABEL in parsers/pennsylvania.py.,,,,,,
PA,Candidate,Candidate Committee,,,,
"# FILERTYPE=2 ""Committee"" is PA's single catch-all code for every non-candidate",,,,,,
# non-lobbyist committee (PACs, party committees, ballot committees) — the,,,,
# source data doesn't distinguish them further, so PAC is the closest generic,,,,,
"# bucket. Some ""Committee"" rows are actually a candidate's own money committee",,,,,,
"# (e.g. ""Shapiro for Pennsylvania"") now correctly linked via candidate_name/",,,,,,
# person_id (see PA_COMMITTEE_CANDIDATE_OVERRIDE in the parser) but still,,,,,,
# showing committee_type=PAC here — CA/GA have a precedent aggregate.py,,,,,,
# override (state=X AND committee_type='PAC' AND candidate_name != '' ->,,,,,,
# 'Candidate Committee') that hasn't been applied to PA yet; flagged in,,,,,,
# docs/states/pennsylvania.md, not done in this pass.,,,,,
PA,Committee,PAC,,,,
PA,Lobbyist,Other,,,,
"# FILERTYPE ""4"" is an undocumented raw code (105 rows", <1%) not covered by,,,,,
# DOS's published FILERTYPE list (1/2/3) — suppressed rather than guessed at.,,,,,,
PA,4,,,,,
# == Montana ===================================================================,,,,,,
# CERS committeeTypeDescr, from the committee search UI's own dropdown options.,,,,,
MT,Ballot Issue,Ballot Measure,,,,
MT,Disbanded Montana PAC,PAC,,,,
MT,Disbanded Montana Party,Party Committee,,,,
MT,Federal Action,PAC,,,,
MT,Federal Party,Party Committee,,,,
MT,Incidental,Organization,,,,
MT,Incidental - Local Government,Organization,,,,
MT,Independent,Independent Expenditure,,,,
MT,Joint Fundraising Committee,PAC,,,,
MT,Minor Party Qualification,Party Committee,,,,
MT,Political Party,Party Committee,,,,
MT,Undetermined,Other,,,,
# == Ohio ======================================================================,,,,,,
# Ohio's own committee_type values (assigned by the parser from which File,,,,,,
# Transfer Page group a committee came from — CAN/PAC/PARTY) are already the,,,,,,
# canonical labels, so this is an identity mapping.,,,,,
OH,Candidate Committee,Candidate Committee,,,,
OH,PAC,PAC,,,,
OH,Party Committee,Party Committee,,,,
# == New Hampshire =============================================================,,,,,,
# NH committee_type is Committee Subtype (receipts) or Filing Entity Type,,,,,,
"# (expenditures) -- falls back to ""Candidate Committee"" in the parser when blank",,,,,,
# and a candidate name is present (candidate committees carry no subtype).,,,,,,
NH,Major Purpose Electioneering,PAC,,,,
NH,Major Purpose NOT Electioneering,PAC,,,,
NH,Political Committee of a Political Party,Party Committee,,,,
NH,Segregated Organization Fund,PAC,,,,
NH,Political Committee,PAC,,,,
NH,Political Advocacy Organization,PAC,,,,
NH,Candidate Committee,Candidate Committee,,,,
NH,Candidate,Candidate Committee,,,,
NH,Governor's Inaugural Committee,Other,,,,
NH,Speaker of the House,Other,,,,
# == Washington =================================================================,,,,,,
# WA's committee_type is the parser's own Candidate/Political Committee label,,,,,,
"# derived from the raw ""type"" field (contributions/expenditures/loans) or",,,,,,
"# ""filer_type"" CA/CO (debt) — not a raw source column by itself", but the two,,,,,
# values are written out verbatim below (same identity-mapping pattern as,,,,,,
"# Ohio's Candidate Committee/PAC/Party Committee note above). WA's ""Political",,,,,,
"# Committee"" bucket covers continuing PACs", party committees, ballot,,,,
# committees, and single-election-year committees together — PDC's public,,,,,
# datasets don't expose a finer split (see docs/states/washington.md) — so it,,,,,,
# maps to PAC," same as Colorado's identical raw value ""Political Committee"".",,,,,
WA,Candidate Committee,Candidate Committee,,,,
WA,Political Committee,PAC,,,,
# == South Carolina ==============================================================,,,,,,
# Every filer reachable through ethicsfiling.sc.gov's campaign-reports screens is,,,,,,
# a candidate or public official — the screens sit under /candidates-public-,,,,,,
# officials, so that source contributes exactly one committee_type value.,,,,,,
SC,Candidate Committee,Candidate Committee,,,,
# Standalone PACs are a second source (apps.sc.gov, opt-in via the scraper's,,,,,,
# --pacs flag) -- see docs/states/south_carolina.md "Non-Candidate Committees".,,,,,,
SC,Non-Candidate Committee,PAC,,,,
# Caucus and State/County/City Political Party committees are a third source,,,,,,
# (apps.sc.gov, opt-in via --party-caucus) -- see docs/states/south_carolina.md,,,,,,
# "Caucus & Party Committees". Caucus mapped to Party Committee (not PAC) since,,,,,,
# every SC caucus discovered so far is a legislative party caucus (House/Senate,,,,,,
# Democratic/Republican Caucus, etc.) -- same treatment as IN's "Legislative,,,,,,
# Caucus" and MD's "Legislative Caucus Committee" above.,,,,,,
SC,Caucus Committee,Party Committee,,,,
SC,State Political Party,Party Committee,,,,
SC,County Political Party,Party Committee,,,,
SC,City Political Party,Party Committee,,,,
# Ballot Measure committees are a fourth source (same apps.sc.gov site,,,,,,
# opt-in via --ballot-measure) -- see docs/states/south_carolina.md,,,,,,
# "Ballot Measure Committees". Mapped to the same canonical "Ballot Measure",,,,,,
# every other state's ballot-committee raw value maps to (see AK/AZ/CA/CO/,,,,,,
# GA/IL/ME/MD/MA/MI/MS/MT above).,,,,,,
SC,Ballot Measure Committee,Ballot Measure,,,,
# == Tennessee =================================================================,,,,,,
# TN publishes no committee-type field. parsers/tennessee.py assigns its own,,,,,,
# two labels from which roster a record came out of: the Candidates search,,,,,,
"# (a candidate's Committee Affiliation) or the PACs search. Identity-mapped,",,,,,,
# same pattern as Ohio/Washington below.,,,,,,
TN,Candidate Committee,Candidate Committee,,,,
TN,PAC,PAC,,,,
# == New York ==================================================================,,,,,,
"# NYSBOE's committee_type_desc, straight off the filer registry (7x2g-h32p).",,,,,,
# All 20 values that occur in the registry are listed. The 'Housekeeping',,,,,,
"# variants are party committees' non-campaign accounts — still party money,",,,,,,
# so they map to Party Committee rather than Other.,,,,,,
NY,Authorized Single Candidate Committee,Candidate Committee,,,,
NY,Authorized Multi-Candidate Committee,Candidate Committee,,,,
NY,Public Campaign Finance Committee,Candidate Committee,,,,
NY,Political Action Committee,PAC,,,,
NY,Independent Expenditure Committee,Independent Expenditure,,,,
NY,Ballot Issue Committee,Ballot Measure,,,,
NY,Constituted County Committee,Party Committee,,,,
NY,Constituted State Committee,Party Committee,,,,
NY,Party County Committee,Party Committee,,,,
NY,Party State Committee,Party Committee,,,,
NY,Constituted County Housekeeping Committee,Party Committee,,,,
NY,Constituted State Housekeeping Committee,Party Committee,,,,
NY,Party County Housekeeping Committee,Party Committee,,,,
NY,Party State Housekeeping Committee,Party Committee,,,,
NY,Duly Constituted Sub-Committee of a County Committee,Party Committee,,,,
NY,Duly Constituted Sub-Committee of a County Committee - Town,Party Committee,,,,
NY,Duly Constituted Sub-Committee of a County Committee-City,Party Committee,,,,
NY,Duly Constituted Sub-Committee of a County Committee - Village,Party Committee,,,,
NY,Duly Constituted Sub-Committee of a County Committee - Housekeeping,Party Committee,,,,
NY,Duly Constituted Sub-Committee of a County Committee - Housekeeping - Town,Party Committee,,,,
# == Texas =====================================================================,,,,,,
# TX committee_type is the filerTypeCd expanded to its label from CFS-Codes.txt,,,,,,
# (parsers/texas.py FILER_TYPES). All 15 codes TEC uses are listed. Note every,,,,,,
"# filer gets a committees row, candidates included: a Texas candidate files",,,,,,
# under their own account rather than through a separately registered,,,,,,
"# committee, so their account IS the recipient on every contribution.",,,,,,
TX,Candidate/Officeholder,Candidate Committee,,,,
TX,Judicial Candidate/Officeholder,Candidate Committee,,,,
TX,State/County Chair Candidate/Officeholder,Candidate Committee,,,,
TX,Candidate for Speaker,Candidate Committee,,,,
TX,General-Purpose Committee,PAC,,,,
TX,Monthly Filing General-Purpose Committee,PAC,,,,
TX,Specific-Purpose Committee,PAC,,,,
TX,Judicial Specific-Purpose Committee,PAC,,,,
TX,State/County Specific-Purpose Committee,PAC,,,,
TX,As-If Specific-Purpose Committee,PAC,,,,
TX,County Executive Committee,Party Committee,,,,
TX,Monthly Filing County Executive Committee,Party Committee,,,,
TX,Political Party (Corporate/Labor Funds),Party Committee,,,,
